	Acinetobacterjohnsonii	Actinobaculumschaalii	Actinobaculumurinae	Actinomyceseuropaeus	Actinomycesgraevenitzii	Actinomycesneuii	Actinomycesodontolyticus	Actinomycesoris  	Actinomycesradingae	Actinomycesturicensis	Actinomycesurogenitalis	Aerococcus christensenii	Aerococcussanguinicola	Aerococcusurinae	Aerococcusviridans	Alloscardoviaomnicolens	Arthrobactercumminsii	Bacillusinfantis	Bacillussubtilis	Bifidobacteriumbifidum 	Bifidobacteriumbreve	Bifidobacteriumdentum 	Bidifobacteriumlongum 	Brevibacteriumpaucivorans	Brevibacteriumravenspurgense	Candidaalbicans	Candidaglabrata	Candidaparapsilosis	Candidalusitaniae	Citrobacterfreundii	Citrobacterkoseri	Corynebacteriumafermentas	Corynebacteriumamycolatum	Corynebacteriumaurimucosum	Corynebacteriumcoyleae	Corynebacteriumfreneyi	Corynebacteriumglucuronolyticum	Corynebacteriumimitans	Corynebacteriumjeikeium	Corynebacteriumlipophilegroup	Corynebacteirummatruchotii  	Corynebacteriumminutissimum 	Corynebacteriumriegelii	Corynebacteriumsimulans	Corynebacteriumspecies	Corynebacteriumstriatum	Corynebacteriumtuberculostericum	Corynebacteriumtuscaniense	Corynebacteriumurealyticum	Dermabacterhominis	Dialistermicroaerophilus	Enterobacteraerogenes	Enterobacterasburiae	Enterobactercloacae	Enterobacterludwigii	Enterococcusfaecalis	Enterococcusfaecium	Escherichiacoli	Facklamiahominis	Fingoldiamagna 	Fusobacteriumnucleatum 	Gardnerellaspecies	Gardnerellavaginalis	Gemellahaemolysans	Gemellasanguninis  	Globicatellasulfidiciens	Haemophilusparainfluenzae	Klebsiellapneumoniae	Kocuriarhizophila	Kytococcusschroeteri	Lactobacilluscrispatus	Lactobacillusdelbrueckii	Lactobacillusfermentum	Lactobacillusgasseri	Lactobacillusiners	Lactobacillusjensenii	Lactobacillusjohnsonii	Lactobacillusparacasei	Lactobacilluspentosus	Lactobacillusreuteri	Lactobacillusrhamnosus	Micrococcusluteus	Micrococcuslylae	Morganellamorganii	Neisseriaflavescens	Neisseriaperflava	Oligellaurethralis	Peptoniphilusharei 	Prevotellabivia	Propionibacteriumacnes	Propionibacteriumavidum	Propionimicrobiumlymphophilum	Proteusmirabilis	Pseudomonasaeruginosa 	Rothiaaeria	Rothiadentocariosa	Rothiamucilaginosa	Serratiamarcescens	Slackiaexigua   	Staphylococcusaureus	Staphylococcuscapitis	Staphylococcuscaprae	Staphylococcusepidermidis	Staphylococcushaemolyticus	Staphylococcushominis	Staphylococcuslugdunesis 	Staphylococcuspettenkoferi	Staphylococcussimulans	Staphylococcuswarneri	Streptococcusagalactiae	Streptococcusanginosus	Streptococcusconstellatus	Streptococcuscristatus	Streptococcusgallolyticus	Streptococcusgordonii	Streptococcusmitisoralispneumoniae	Streptococcusparasanguinis	Streptococcussalivarius	Streptococcussanguinis	Streptococcusvestibularis	Trueperellabernardiae	Unknown
C025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	1000	0	0	0	0	0	0	0	0	0	0	0
C027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100000	0	0	1000	100000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0
C031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0
C045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
